player_id,first_name,last_name,date_of_birth,hometown,state,position,height,weight,jersey_number
1,Robin,Franco,1988-11-15,Lake Kristina,OR,WR,73,298,99
2,Tiffany,Dean,1997-04-09,Parkerberg,KS,RB,72,191,15
3,Gary,Young,2007-08-10,Villaton,VI,QB,68,276,41
4,Rodney,Graham,2000-07-25,Williamton,MS,TE,76,247,88
5,Randall,Ellis,2005-06-01,Paulshire,NC,WR,77,264,32
6,Patricia,Morgan,2008-03-07,Nicholasbury,MA,WR,79,216,33
7,Theresa,Lopez,1994-03-27,Elijahview,IN,RB,74,187,54
8,Christina,Ellison,1988-05-13,Joseview,AZ,RB,68,282,67
9,Frank,Ramos,1995-02-14,West Robertbury,AL,QB,76,269,87
10,Christopher,Miller,1991-07-07,West Randallberg,VA,TE,71,278,60
11,Jason,Robertson,1992-07-03,Lake Johnhaven,DE,RB,70,271,56
12,Robert,Logan,2002-01-17,New Rebeccachester,MD,WR,72,160,37
13,John,Rice,1996-08-19,Rasmussenbury,SC,TE,69,153,82
14,Gina,Dominguez,1992-08-21,Tinastad,GU,QB,76,291,54
15,Susan,Maxwell,2007-01-29,South Lisa,WI,WR,74,173,91
16,Todd,Snyder,2006-02-22,Lake Amyview,FM,WR,71,284,99
17,Kathleen,Best,1991-09-11,East Kimberlyfort,IN,WR,80,300,3
18,Daniel,Lynch,1989-06-18,North Michaelfurt,NC,TE,73,284,71
19,Lisa,Richardson,2004-12-24,Michelleside,MS,TE,72,261,8
20,Kimberly,Jackson,2001-04-27,Robertland,AS,QB,80,227,82
21,Joseph,Simon,1986-05-19,Bairdmouth,AZ,TE,78,175,87
22,Lindsey,Silva,1996-07-05,Cassandrastad,RI,WR,77,195,59
23,Jessica,Dean,1999-12-22,North Angelashire,NE,RB,74,203,69
24,Manuel,Cole,2003-12-16,Tatefurt,NY,QB,77,294,79
25,James,Sanchez,2002-07-29,East Nicholas,AR,QB,78,240,24
26,Glenda,Petty,2003-11-06,Lake Yolanda,MT,WR,78,261,76
27,Brian,Fox,2000-05-03,New Holly,AR,QB,70,272,6
28,Julie,Johnson,1992-03-15,Padillamouth,NM,QB,78,216,71
29,Sydney,Pearson,1985-08-09,Lake Amanda,OK,TE,71,187,37
30,William,Sweeney,2002-09-08,Tamaraburgh,AZ,QB,73,295,86
31,Patricia,Johnson,1993-03-13,Thomasside,ND,WR,68,154,54
32,Amy,Allen,1997-02-24,Evansville,AS,RB,70,289,82
33,Stephanie,Rose,1987-07-24,Moranmouth,AK,QB,72,207,24
34,Devin,Jimenez,1994-07-13,Kylemouth,MN,QB,79,265,35
35,Natalie,Ballard,2003-06-14,Proctortown,PW,WR,73,289,92
36,Christopher,Bennett,1999-07-11,East Cathy,WY,QB,80,207,8
37,Vickie,Phillips,2000-05-27,Ronaldberg,AZ,QB,80,250,18
38,Andrew,Bates,2005-04-11,Georgeview,WY,TE,78,152,4
39,Ellen,Olsen,1999-01-28,North Frankhaven,PW,RB,71,201,72
40,Robert,Davis,2006-10-29,Kyliefurt,MN,QB,80,222,45
41,Lori,Mcmillan,1985-06-04,Lake Daltonfurt,PW,RB,73,225,82
42,Timothy,Gilmore,1989-11-26,Murraystad,NV,QB,68,261,26
43,Lisa,Rowe,2005-08-17,Jeffersonbury,MT,TE,76,297,2
44,Eddie,Dalton,2003-12-24,Rachelbury,MA,WR,71,295,66
